wiki_db,year,pagetitle,edits,desc_en,desc_ar,desc_de,desc_es,desc_fr,desc_ru,desc_zh,file_name,image_page,image_file,artist,license,licenseurl,daily_edits
enwiki,2001,Creationism,124,"religious belief that nature, and aspects such as the universe, Earth, life, and humans, originated with supernatural acts of divine creation",الاعتقاد الديني بأن الطبيعة والجوانب مثل الكون والأرض والحياة والبشر نشأت من أعمال خارقة للطبيعة من الخلق الإلهي,"religiöser Glaube, dass die Natur und Aspekte wie das Universum, die Erde, das Leben und der Mensch durch übernatürliche göttliche Schöpfungsakte entstanden sind","creencia religiosa de que la naturaleza y aspectos como el universo, la Tierra, la vida y los humanos se originaron con actos sobrenaturales de creación divina",Croyance religieuse plus ou moins millitante affirmant qu'une création divine est responsable de la vie et de l'univers,"религиозное убеждение, что природа и такие аспекты, как вселенная, Земля, жизнь и люди, возникли в результате сверхъестественных актов божественного творения",宗教信仰，即自然以及諸如宇宙，地球，生命和人類之類的各個方面起源於超自然的神聖創造,File:The_Creation_of_Adam.jpg,https://commons.wikimedia.org/wiki/File:The_Creation_of_Adam.jpg,https://upload.wikimedia.org/wikipedia/commons/6/63/The_Creation_of_Adam.jpg,"Michelangelo Buonarroti
",Public domain,,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_2_0_0_0_0_0_1_4_21_17_17_0_21_16_7_0_0_0_0_0_0_0_7_4_0_0_4_0_0_0_2_0_0_0_0_0_0_0_1_0_0
frwiki,2001,Physique_des_particules,3,branch of physics,فرع من الفيزياء,Zweig der Physik,rama de la física que estudia los componentes elementales de la materia y las interacciones entre ellos,"Branche de la physique qui étudie les constituants élémentaires de la matière, leurs rayonnements, et leurs interactions",раздел физики,物理學分支,File:BubbleChamber-fnal.jpg,https://commons.wikimedia.org/wiki/File:BubbleChamber-fnal.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3d/BubbleChamber-fnal.jpg,,Public domain,,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
eswiki,2001,Chincha_Alta,6,city,مدينة,Stadt,"ciudad del Perú, capital de la provincia de Chincha",ville du Pérou située au sud de la capitale Lima,город в Перу,城市,File:Chincha_Plaza_de_Armas_e_Iglesia.jpg,https://commons.wikimedia.org/wiki/File:Chincha_Plaza_de_Armas_e_Iglesia.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8c/Chincha_Plaza_de_Armas_e_Iglesia.jpg,Beverunger,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
dewiki,2001,Joshua_Norton,25,San Francisco eccentric and self-proclaimed Emperor of the United States,غريب أطوار من سان فرانسيسكو، كان قد نصب نفسه إمبراطورًا على الولايات المتحدة,Exzentriker aus San Francisco und selbsternannter Kaiser der Vereinigten Staaten,"iudadano estadounidense de San Francisco, California, que se declaró Emperador de estos Estados Unidos y protector de México",entrepreneur américain,эксцентричный и самопровозглашенный император Соединенных Штатов из Сан-Франциско,於三藩市自稱為美國皇帝的人,File:Norton-2.jpg,https://commons.wikimedia.org/wiki/File:Norton-2.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ae/Norton-2.jpg,Unknown author,Public domain,,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_14_0_5_2_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
ruwiki,2002,Россия,12,sovereign state in Eastern Europe and Northern Asia,دولة ذات سيادة في أوروبا الشرقية وشمال آسيا,souveräner Staat in Osteuropa und Nordasien,país de Europa y Asia,pays d'Europe et d'Asie,суверенное государство в Восточной Европе и Северной Азии,東歐和北亞主權國家,File:Flag_of_Russia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Russia.svg,https://upload.wikimedia.org/wikipedia/commons/f/f3/Flag_of_Russia.svg,Zscout370,Public domain,,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_2_0_0_0_0_0_2_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_6_0_0_0_0_0
enwiki,2002,Lists_of_Canadians,294,Wikipedia list article about notable Canadians,قائمة ويكيبيديا عن كنديين ملحوظين,Wikipedialisten über bemerkenswerte Kanadier,Lista de artículos de Wikipedia sobre canadienses notables,page de liste de Wikipédia,статья-список в Википедии о выдающихся канадцах,維基百科著名加拿大人列表,File:Roberta_Bondar_NASA.jpg,https://commons.wikimedia.org/wiki/File:Roberta_Bondar_NASA.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a3/Roberta_Bondar_NASA.jpg,"NASA,",Public domain,,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_3_4_0_5_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_1_0_1_0_0_0_0_0_0_0_0_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_3_0_0_1_0_0_0_0_0_50_29_23_2_2_3_1_7_0_2_3_0_0_10_4_0_0_3_0_1_3_10_0_6_22_4_24_7_38_9_5_0_0_2_0_0_0_0_0_0_0_0_0_0_0_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_2_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
frwiki,2002,Chronologie_du_Japon,37,"comprising important legal, territorial and cultural changes and political events in Japan and its predecessor states",التغييرات القانونية والإقليمية والثقافية المهمة والأحداث السياسية في اليابان والدول السابقة لها,"mit wichtigen rechtlichen, territorialen und kulturellen Veränderungen und politischen Ereignissen in Japan und seinen Vorgängerstaaten","datos que comprenden importantes cambios legales, territoriales y culturales y eventos políticos en Japón y sus estados predecesores","comprenant d'importants changements juridiques, territoriaux et culturels ainsi que des événements politiques survenus au Japon et dans les États qui l'ont précédé","включает важные правовые, территориальные и культурные изменения и политические события в Японии и ее государствах-предшественниках",包括日本及其前身國家的重要法律，地域和文化變化以及政治事件,,,,,,,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_19_3_7_1_0_1_2_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_2_0
eswiki,2002,Filosofía_continental,36,set of 19th- and 20th-century philosophical traditions from mainland Europe,مجموعة من التقاليد الفلسفية التي ظهرت في القرنين التاسع عشر والعشرين في أوروبا القارية,Reihe von philosophischen Traditionen des 19. und 20. Jahrhunderts vom europäischen Festland,concepto que describe varios movimientos filosóficos de los siglos XIX y XX,set of 19th- and 20th-century philosophical traditions from mainland Europe,набор философских традиций 19 и 20 веков из континентальной Европы,來自歐洲大陸的19世紀和20世紀的哲學,File:Henri_Bergson_(Nobel).jpg,https://commons.wikimedia.org/wiki/File:Henri_Bergson_(Nobel).jpg,https://upload.wikimedia.org/wikipedia/commons/e/ed/Henri_Bergson_%28Nobel%29.jpg,Unknown author,Public domain,,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_3_2_6_11_0_4_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_1
zhwiki,2002,中华人民共和国,25,sovereign state in East Asia,دولة ذات سيادة في شرق آسيا,souveräner Staat in Ostasien,País de Asia Oriental,pays d'Asie,суверенное государство в Восточной Азии,東亞主權國家,File:Flag_of_the_People's_Republic_of_China.svg,https://commons.wikimedia.org/wiki/File:Flag_of_the_People%27s_Republic_of_China.svg,https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_the_People%27s_Republic_of_China.svg,"Drawn by User:SKopp, redrawn by User:Denelson83 and User:Zscout370

Recode by cs:User:-xfi- (code), User:Shizhao (colors)",Public domain,,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_6_0_2_5_2_0_1_0_1_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_5_0_0_0_0_0_0_0
dewiki,2002,Berlin,92,capital and largest city of Germany,عاصمة ألمانيا وأكبر مدنها,Hauptstadt und größte Stadt Deutschlands,capital de Alemania,capitale et ville-État de l'Allemagne,столица и крупнейший город Германии,德國首都和最大的城市,File:Locator_map_Berlin_in_Germany.svg,https://commons.wikimedia.org/wiki/File:Locator_map_Berlin_in_Germany.svg,https://upload.wikimedia.org/wikipedia/commons/c/c3/Locator_map_Berlin_in_Germany.svg,TUBS,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_2_1_1_0_4_5_1_0_0_1_1_0_2_4_1_0_0_0_1_0_0_2_0_6_2_10_1_0_0_0_0_0_0_0_0_0_0_0_0_1_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_1_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_4_3_1_14_1_8_0_1_0_0_0_0_0_0_2_0_0_0_4_0
